validation_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
390.0649719238281,287.06107354164124,False,1,5c0416ee,2023-08-19_21-51-03,1692481863,287.06107354164124,9881,ip-172-31-38-240,172.31.38.240,287.06107354164124,1
389.1763610839844,279.3831150531769,False,2,5c0416ee,2023-08-19_21-55-43,1692482143,566.4441885948181,9881,ip-172-31-38-240,172.31.38.240,566.4441885948181,2
387.17071533203125,276.8217759132385,False,3,5c0416ee,2023-08-19_22-00-20,1692482420,843.2659645080566,9881,ip-172-31-38-240,172.31.38.240,843.2659645080566,3
388.14190673828125,269.10839796066284,False,4,5c0416ee,2023-08-19_22-04-49,1692482689,1112.3743624687195,9881,ip-172-31-38-240,172.31.38.240,1112.3743624687195,4
389.085205078125,274.77624440193176,False,5,5c0416ee,2023-08-19_22-09-23,1692482963,1387.1506068706512,9881,ip-172-31-38-240,172.31.38.240,1387.1506068706512,5
388.2559509277344,280.14384150505066,False,6,5c0416ee,2023-08-19_22-14-04,1692483244,1667.294448375702,9881,ip-172-31-38-240,172.31.38.240,1667.294448375702,6
388.6784973144531,271.03927755355835,False,7,5c0416ee,2023-08-19_22-18-35,1692483515,1938.3337259292603,9881,ip-172-31-38-240,172.31.38.240,1938.3337259292603,7
389.2263488769531,273.65959095954895,False,8,5c0416ee,2023-08-19_22-23-08,1692483788,2211.993316888809,9881,ip-172-31-38-240,172.31.38.240,2211.993316888809,8
388.90716552734375,272.6603503227234,False,9,5c0416ee,2023-08-19_22-27-41,1692484061,2484.6536672115326,9881,ip-172-31-38-240,172.31.38.240,2484.6536672115326,9
390.25,269.62365674972534,False,10,5c0416ee,2023-08-19_22-32-11,1692484331,2754.277323961258,9881,ip-172-31-38-240,172.31.38.240,2754.277323961258,10
390.4436340332031,271.19586181640625,False,11,5c0416ee,2023-08-19_22-36-42,1692484602,3025.473185777664,9881,ip-172-31-38-240,172.31.38.240,3025.473185777664,11
389.5791931152344,271.8980040550232,False,12,5c0416ee,2023-08-19_22-41-14,1692484874,3297.3711898326874,9881,ip-172-31-38-240,172.31.38.240,3297.3711898326874,12
390.6146545410156,270.8682494163513,False,13,5c0416ee,2023-08-19_22-45-44,1692485144,3568.2394392490387,9881,ip-172-31-38-240,172.31.38.240,3568.2394392490387,13
390.3149719238281,270.1128947734833,False,14,5c0416ee,2023-08-19_22-50-15,1692485415,3838.352334022522,9881,ip-172-31-38-240,172.31.38.240,3838.352334022522,14
389.3751220703125,272.14192032814026,False,15,5c0416ee,2023-08-19_22-54-47,1692485687,4110.494254350662,9881,ip-172-31-38-240,172.31.38.240,4110.494254350662,15
390.13653564453125,268.67937874794006,True,16,5c0416ee,2023-08-19_22-59-15,1692485955,4379.173633098602,9881,ip-172-31-38-240,172.31.38.240,4379.173633098602,16
