validation_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
806.0794067382812,56.99406814575195,False,1,51db0674,2023-09-12_03-34-00,1694489640,56.99406814575195,130351,bruce-ubuntu22-x86.aegea,172.31.8.23,56.99406814575195,1
790.8350219726562,53.00056982040405,False,2,51db0674,2023-09-12_03-34-53,1694489693,109.994637966156,130351,bruce-ubuntu22-x86.aegea,172.31.8.23,109.994637966156,2
785.476318359375,53.137999057769775,False,3,51db0674,2023-09-12_03-35-46,1694489746,163.13263702392578,130351,bruce-ubuntu22-x86.aegea,172.31.8.23,163.13263702392578,3
783.3746337890625,53.06413912773132,False,4,51db0674,2023-09-12_03-36-39,1694489799,216.1967761516571,130351,bruce-ubuntu22-x86.aegea,172.31.8.23,216.1967761516571,4
782.3890991210938,52.91047978401184,False,5,51db0674,2023-09-12_03-37-32,1694489852,269.10725593566895,130351,bruce-ubuntu22-x86.aegea,172.31.8.23,269.10725593566895,5
781.06396484375,53.27348971366882,False,6,51db0674,2023-09-12_03-38-25,1694489905,322.38074564933777,130351,bruce-ubuntu22-x86.aegea,172.31.8.23,322.38074564933777,6
780.4028930664062,52.22032833099365,False,7,51db0674,2023-09-12_03-39-17,1694489957,374.6010739803314,130351,bruce-ubuntu22-x86.aegea,172.31.8.23,374.6010739803314,7
780.2216796875,52.07768893241882,False,8,51db0674,2023-09-12_03-40-09,1694490009,426.67876291275024,130351,bruce-ubuntu22-x86.aegea,172.31.8.23,426.67876291275024,8
779.5536499023438,52.517234086990356,False,9,51db0674,2023-09-12_03-41-02,1694490062,479.1959969997406,130351,bruce-ubuntu22-x86.aegea,172.31.8.23,479.1959969997406,9
780.1913452148438,52.303561210632324,True,10,51db0674,2023-09-12_03-41-54,1694490114,531.4995582103729,130351,bruce-ubuntu22-x86.aegea,172.31.8.23,531.4995582103729,10
